艾
爱
哀
蔺 LIN
吝 LIN
淋 LIN
琳 LIN
临丘 LIN 
廪 LIN
林 LIN/LAM
凌 LING
伶 LING
伶舟 LING 
伶州 LING
岭 LING
於陵 LING
酃 LING
苓 LING 
陵 LING
泠 LING
灵 LING
令孤 LING GU
令狐 LINGHU 
上令下狐 LINGHU
酃丘 LINGQIU
林业 LINYE
刘俊 LIU
斿 liu 
遛 LIU
柳林 LIU
刘根百里 LIU
留 LIU
柳 LIU 
董 LIU
刘 LIU
文 LIU
丹 LIU
溜 LIU 
流 LIU
劉 LIU
浏 liu
刘谭 LIU TAN
刘傅 LIUFU 
刘付 LIUFU
聶 LONG
翬 LONG
陇 LONG
龙 LONG 
隆 LONG
龍 LONG
耑 LONG
龍陽 LONGYANG
漏 LOU 
娄 LOU
楼 LOU
路 LU
露 lu
鹿 LU 
禄 LU
鲁 LU
卢 LU
陆 LU
潞 LU 
六 LU
芦 LU
盧 LU
陸 LU
樂 LU 
路里 LU
露兜 LU
庐 LU
录 LU
漉 LU 
叱卢 LU
窦卢 LU
屡 LU
甪 lu
爐 LU 
渌 LU
彔 lù
陆费 LU FEI
甪里 LU LI
栾 LUAN 
孪 LUAN
峦 LUAN
卵 LUAN
娈 LUáN
略阳 LUE 
论 LUN
伦 LUN
倫 lun
裸 LUO
鸁 luo 
捋 LUO
鑼 luo
螺 LUO
濼 luo
玀 luo 
曪 luo
雒 LUO
洛 LUO
欧 LUO
骆 LUO 
罗 LUO
駱 LUO
络 LUO
落下 LUO
洛下 LUO 
驴 LV
呂 LV
叱吕 LV
吕 LV
绿 LV 
旅 LV
逯 LV
闾 LV
绿小豆 LV
率 LV 
闾丘 LV QIU 
马 MA
麻 MA
马帅 MA
馬 MA 马矢 MA
马服 MA
杩 ma
马司 MA
马徐 MA 
祃 MA(去声)
麥 MAI
麦 MAI
买 MAI
賣 MAI 
迈 MAI
缦 man
满 MAN
满红 MAN
曼 MAN 
满丘 MAN
漫 MAN
蔄 MAN
邙 MANG
莽 MANG 
忙 MANG
貌 MAO
